name,season,appeared,rating,contentdescripters,origin,weapons,portrayed,culture,religion,gender,image
Podrick Payne,2 3 4 5,18,Alive,,Unknown,"Lannister, Payne",Daniel Portman,Unknown,Unknown,m,http://img1.wikia.nocookie.net/__cb20140618215825/gameofthrones/images/thumb/6/6c/Podrick-Payne-Profile-HD.png/130px-0%2C584%2C11%2C528-Podrick-Payne-Profile-HD.png
Missandei,3 4 5,17,Alive,,"Naath, Sothoryos",Targaryen,Nathlaie Emmanuel,Unknown,Unknown,f,http://img3.wikia.nocookie.net/__cb20150219051321/gameofthrones/images/thumb/e/e2/MissS5.png/130px-0%2C1236%2C31%2C1124-MissS5.png
Davos Seaworth,2 3 4 5,16,Alive,,King's Landing,"Seaworth, Baratheon",Liam Cunningham,Unknown,Unknown,m,http://img3.wikia.nocookie.net/__cb20150313225856/gameofthrones/images/thumb/4/4c/Davos_Seaworth_%28S04E02%29.png/130px-0%2C780%2C14%2C704-Davos_Seaworth_%28S04E02%29.png
Loras Tyrell,1 2 3 4 5,15,Alive,,Highgarden,"Tyrell, Baratheon, Kingsguard",Finn Jones,Andal,Unknown,m,http://img2.wikia.nocookie.net/__cb20140622135716/gameofthrones/images/thumb/6/6c/Ser_Loras_Tyrell.jpg/130px-0%2C1664%2C33%2C1505-Ser_Loras_Tyrell.jpg
Melisandre,2 3 4 5,14,Alive,,Asshai,Baratheon,Carice van Houten,Asshai'i,R'hllor Lord of Light,f,http://img3.wikia.nocookie.net/__cb20150415185831/gameofthrones/images/thumb/3/3e/Melisandre_S5.jpg/130px-0%2C343%2C6%2C309-Melisandre_S5.jpg
Osha,1 2 3,14,Alive,,Beyond the Wall,Stark,Natalia Tena,Free Folk,Old Gods of the Forest,f,http://img2.wikia.nocookie.net/__cb20130305150846/gameofthrones/images/thumb/4/49/Osha-S3.jpg/130px-0%2C856%2C14%2C771-Osha-S3.jpg
Roose Bolton,2 3 4 5,13,Alive,,The Dreadfort,Bolton,Michael McElhatton,Northmen,Old Gods of the Forest,m,http://img1.wikia.nocookie.net/__cb20150131122254/gameofthrones/images/thumb/6/62/Roose_Bolton_Season5.png/130px-0%2C773%2C15%2C699-Roose_Bolton_Season5.png
Tormund,3 4 5,13,Alive,,Beyond the Wall,Free Folk,Kristofer Hivju,Free Folk,Unknown,m,http://img2.wikia.nocookie.net/__cb20150415044031/gameofthrones/images/thumb/4/46/TormundGS5.png/130px-0%2C242%2C5%2C219-TormundGS5.png
Gilly,2 3 4 5,14,Alive,,Beyond the Wall,Free Folk,Hannah Murray,Free Folk,Unknown,f,http://img2.wikia.nocookie.net/__cb20140615212038/gameofthrones/images/thumb/0/0e/Gilly.png/130px-0%2C257%2C5%2C232-Gilly.png
Jeor Mormont,1 2 3,12,Deceased,Stabbed,Bear Island,"Night's Watch, Mormont",James Cosmo,Northmen,Old Gods of the Forest,m,http://img4.wikia.nocookie.net/__cb20140515205439/gameofthrones/images/thumb/6/65/Jeor-Mormont-Profile-HD.png/130px-0%2C486%2C8%2C438-Jeor-Mormont-Profile-HD.png
Eddard Stark,1,11,Deceased,Executed,Winterfell,Stark,Sean Bean,Northmen,Old Gods of the Forest,m,http://img2.wikia.nocookie.net/__cb20110626030942/gameofthrones/images/thumb/9/9c/EddardStark.jpg/130px-0%2C346%2C7%2C313-EddardStark.jpg
Talisa Stark,2 3,11,Deceased,Stabbed,Volantis,"Stark, Maegyr Family",Oona Chaplin,Unknown,Unknown,f,http://img1.wikia.nocookie.net/__cb20140612010247/gameofthrones/images/thumb/2/29/Talisa_Stark.png/130px-0%2C342%2C6%2C309-Talisa_Stark.png
Drogo,1 2 ,10,Deceased,Smothered,Vaes Dothrak,Self,Jason Momoa,Dothraki,Great Stallion,m,http://img1.wikia.nocookie.net/__cb20110626031733/gameofthrones/images/thumb/1/1f/Drogo_1x01b.jpg/130px-0%2C346%2C7%2C313-Drogo_1x01b.jpg
Olenna Tyrell,3 4 5,9,Alive,,Storm's End,"Tyrell, Redwyne",Diana Rigg,Unknown,Unknown,f,http://img4.wikia.nocookie.net/__cb20140417125307/gameofthrones/images/thumb/c/c3/Olenna-Tyrell-S4EP01.jpg/130px-0%2C455%2C8%2C411-Olenna-Tyrell-S4EP01.jpg
Ramsay Bolton,3 4 5,9,Alive,,Volantis,Bolton,Iwan Rheon,Northmen,Old Gods of the Forest,m,http://img2.wikia.nocookie.net/__cb20150131120846/gameofthrones/images/thumb/4/48/Ramsay_Bolton_Season_5.png/130px-0%2C685%2C13%2C619-Ramsay_Bolton_Season_5.png
Daario Naharis,3 4 5,9,Alive,,"Tyrosh, The Free Cities","Targaryen, Second Sons",Michiel Huisman,Unknown,Unknown,m,http://img3.wikia.nocookie.net/__cb20150414125919/gameofthrones/images/thumb/c/c0/004.jpg/130px-0%2C1819%2C28%2C1637-004.jpg
Renly Baratheon,1 2,8,Deceased,Shadow,Storm's End,Baratheon,Gethin Anthony,Unknown,Faith of the Seven,m,http://img1.wikia.nocookie.net/__cb20130116113034/gameofthrones/images/thumb/3/3d/Renly_profile.jpg/130px-0%2C379%2C6%2C341-Renly_profile.jpg
Robert Baratheon,1,7,Deceased,Boar Wound,Storm's End,Baratheon,Mark Addy,Unknown,Unknown,m,http://img2.wikia.nocookie.net/__cb20141119000127/gameofthrones/images/thumb/d/d4/RobertBaratheon.jpg/130px-0%2C346%2C7%2C313-RobertBaratheon.jpg
Oberyn Martell,4,7,Deceased,Skull Crushed,Sunspear,"Martell, Second Sons, The Citadel",Pedro Pascal,Dornishmen,Faith of the Seven,m,http://img1.wikia.nocookie.net/__cb20150302145403/gameofthrones/images/thumb/6/67/Oberyn_Martell_%28Season_4%2C_Episode_06%29.png/130px-0%2C500%2C8%2C450-Oberyn_Martell_%28Season_4%2C_Episode_06%29.png
Viserys Targaryen,1,5,Deceased,Molten Gold,King's Landing,Targaryen,Harry Lloyd,Valyrian,Unknown,m,http://img2.wikia.nocookie.net/__cb20121214155927/gameofthrones/images/thumb/4/46/Viseryspromoheadshot.jpg/130px-0%2C1017%2C14%2C914-Viseryspromoheadshot.jpg
