Name,Season(s),First seen,Last seen,Appeared in,Mentioned in,Titles,Also known as,Status,Age,Date of birth,Death,Origin,Allegiance,Culture,Religion,Family,Portrayed by
"Davos Seaworth
","2, 3, 4, 5","""The North Remembers""","""The Children""",15 episodes (see below),"""Winter is Coming""""Lord Snow""""Cripples, Bastards and Broken Things""""The Wolf and the Lion""""A Golden Crown""",SerHand of the King (disputed),The Onion KnightDavos of Flea Bottom,Alive,20 in Season 5[1],,"Burned with molten gold by Khal Drogo""A Golden Crown""",King's Landing,House Baratheon of DragonstoneHouse Seaworth,Northmen,None[1],Marya Seaworth - wife{Matthos Seaworth} - son,Liam Cunningham
"Petyr Baelish
","1, 2, 3, 4, 5","""Lord Snow""","""The Children""",25 episodes (see below),"""Winter is Coming""""Lord Snow""""Cripples, Bastards and Broken Things""""The Wolf and the Lion""""A Golden Crown""",Lord Protector of the ValeLord of HarrenhalMaster of Coin (formerly),Littlefinger,Alive,20 in Season 5[1],,"Burned with molten gold by Khal Drogo""A Golden Crown""","The Fingers, The Vale of Arryn",House Baelish,Northmen,None[1],{Great-Grandfather}{Grandfather}{Father}{Lysa Arryn} - wifeRobin Arryn - stepson{Hoster Tully} - father-in-law{Minisa Tully} - mother-in-law{Catelyn Stark} - sister-in-lawEdmure Tully - brother-in-law,Aidan Gillen
"Ygritte
","2, 3, 4","""The Old Gods and the New""","""The Watchers on the Wall""""The Children"" (corpse)",17 episodes (see below),"""Winter is Coming""""Lord Snow""""Cripples, Bastards and Broken Things""""The Wolf and the Lion""""A Golden Crown""",Lord Protector of the ValeLord of HarrenhalMaster of Coin (formerly),Littlefinger,Deceased,20 in Season 5[1],,"Shot with an arrow by Olly""The Watchers on the Wall""",Beyond the Wall,Free Folk,Free Folk,None[1],Jon Snow - lover,Rose Leslie
"Renly Baratheon
","1, 2","""Lord Snow""","""The Ghost of Harrenhal""",8 episodes (see below),"""Winter is Coming""""Lord Snow""""Cripples, Bastards and Broken Things""""The Wolf and the Lion""""A Golden Crown""",King of the Seven Kingdoms (claimant)Lord Paramount of the Stormlands (formerly)Lord of Storm's EndMaster of Laws (formerly),The King in Highgarden,Deceased,20 in Season 5[1],,"Killed by a Shadow-creature birthed by Melisandre""The Ghost of Harrenhal""",Storm's End,House Baratheon of Storm's End,Andal,Faith of the Seven,{Steffon Baratheon} - father{Cassana Baratheon} - mother{Robert Baratheon} - eldest brotherStannis Baratheon - elder brotherMargaery Baratheon - wife/widowCersei Baratheon - sister-in-lawSelyse Baratheon - sister-in-lawShireen Baratheon - nieceGendry - bastard nephew{Joffrey Baratheon} - alleged nephewTommen Baratheon - alleged nephewMyrcella Baratheon - alleged nieceLoras Tyrell - lover,Gethin Anthony
"Olenna Tyrell
","3, 4, 5","""Dark Wings, Dark Words""","""Oathkeeper""",9 episodes (see below),"""Winter is Coming""""Lord Snow""""Cripples, Bastards and Broken Things""""The Wolf and the Lion""""A Golden Crown""",Lady,The Queen of Thorns,Alive,20 in Season 5[1],,"Killed by a Shadow-creature birthed by Melisandre""The Ghost of Harrenhal""",Storm's End,House Tyrell - by marriageHouse Redwyne - by birth,Andal,Faith of the Seven,{Luthor Tyrell} - husbandMace Tyrell - sonSer Loras Tyrell - grandsonMargaery Tyrell - granddaughterPaxter Redwyne - nephew and son-in-lawBethany Redwyne - relativeViola Redwyne - sister,Diana Rigg
"Osha
","1, 2, 3","""A Golden Crown""","""The Rains of Castamere""",14 episodes (see below),"""Winter is Coming""""Lord Snow""""Cripples, Bastards and Broken Things""""The Wolf and the Lion""""A Golden Crown""",Lady,The Queen of Thorns,Alive,20 in Season 5[1],,"Killed by a Shadow-creature birthed by Melisandre""The Ghost of Harrenhal""",Beyond the Wall,House Stark,Free Folk,Old Gods of the Forest,{Bruni} - husband,Natalia Tena
"Bran Stark
","1, 2, 3, 4","""Winter is Coming""","""The Rains of Castamere""",25 episodes (see below),"""Winter is Coming""""Lord Snow""""Cripples, Bastards and Broken Things""""The Wolf and the Lion""""A Golden Crown""",Prince,Bran Stark,Alive,14 in Season 5,,"Killed by a Shadow-creature birthed by Melisandre""The Ghost of Harrenhal""",Winterfell,House Stark,Northmen,Old Gods of the Forest,{Eddard Stark} - father{Catelyn Stark} - mother{Robb Stark} - brotherSansa Stark - sisterArya Stark - sisterRickon Stark - brotherJon Snow -  half-brotherBenjen Stark - paternal uncle{Brandon Stark} - paternal uncle{Lyanna Stark} - paternal aunt{Jon Arryn} - uncle by marriagePetyr Baelish - uncle by marriageRoslin Frey - aunt by marriage{Rickard Stark} -  paternal grandfatherBrynden Tully - maternal great-uncle{Hoster Tully} - maternal grandfather{Minisa Tully} - maternal grandmotherEdmure Tully - maternal uncle{Lysa Arryn} - maternal auntRobin Arryn - first cousin{Talisa Maegyr} - sister-in-lawTyrion Lannister - brother-in-law,Isaac Hempstead-Wright
"Robb Stark
","1, 2, 3","""Winter is Coming""","""The Rains of Castamere""""Mhysa"" (corpse)",22 episodes (see below),"""Winter is Coming""""Lord Snow""""Cripples, Bastards and Broken Things""""The Wolf and the Lion""""A Golden Crown""",King in the NorthLord of Winterfell,The Young WolfThe King Who Lost the North,Deceased,Approx. 19 in Season 3,,"Shot several times by Frey crossbowmen, then stabbed through the heart by Roose Bolton""The Rains of Castamere""",Winterfell,House Stark,Northmen,Old Gods of the ForestFaith of the Seven,{Eddard Stark} - father{Catelyn Stark} - motherSansa Stark - sisterArya Stark - sisterBran Stark - brotherRickon Stark - brotherJon Snow - bastard half-brother{Rickard Stark} - paternal grandfather{Hoster Tully} - maternal grandfather{Minisa Tully} - maternal grandmother{Brandon Stark} - paternal uncle{Lyanna Stark} - paternal auntBenjen Stark - paternal uncleBrynden Tully - maternal great-uncle{Lysa Arryn} - maternal aunt{Jon Arryn} - uncle by marriageRobin Arryn - first cousinPetyr Baelish - uncle by marriageEdmure Tully - maternal uncleRoslin Frey - aunt by marriageTyrion Lannister - brother-in-law{Talisa Maegyr} - wife,Richard Madden
"Melisandre
","2, 3, 4, 5","""The North Remembers""","""The Rains of Castamere""""Mhysa"" (corpse)",14 episodes (see below),"""Winter is Coming""""Lord Snow""""Cripples, Bastards and Broken Things""""The Wolf and the Lion""""A Golden Crown""",King in the NorthLord of Winterfell,Melisandre of AsshaiLady MelisandreThe Red Woman,Alive,Approx. 19 in Season 3,,"Shot several times by Frey crossbowmen, then stabbed through the heart by Roose Bolton""The Rains of Castamere""",Asshai,House Baratheon of Dragonstone,Asshai'i,"R'hllor, the Lord of Light",{Eddard Stark} - father{Catelyn Stark} - motherSansa Stark - sisterArya Stark - sisterBran Stark - brotherRickon Stark - brotherJon Snow - bastard half-brother{Rickard Stark} - paternal grandfather{Hoster Tully} - maternal grandfather{Minisa Tully} - maternal grandmother{Brandon Stark} - paternal uncle{Lyanna Stark} - paternal auntBenjen Stark - paternal uncleBrynden Tully - maternal great-uncle{Lysa Arryn} - maternal aunt{Jon Arryn} - uncle by marriageRobin Arryn - first cousinPetyr Baelish - uncle by marriageEdmure Tully - maternal uncleRoslin Frey - aunt by marriageTyrion Lannister - brother-in-law{Talisa Maegyr} - wife,Carice van Houten
"Theon Greyjoy
","1, 2, 3, 4, 5","""Winter is Coming""","""The Rains of Castamere""""Mhysa"" (corpse)",26 episodes (see below),"""Winter is Coming""""Lord Snow""""Cripples, Bastards and Broken Things""""The Wolf and the Lion""""A Golden Crown""",Prince of Winterfell (self-appointed),"Reek""The Prince of Winterfell""",Alive,Approx. 19 in Season 3,,"Shot several times by Frey crossbowmen, then stabbed through the heart by Roose Bolton""The Rains of Castamere""",Pyke,House Bolton (hostage)House GreyjoyHouse Stark (ward/hostage - betrayed),Ironborn,Drowned God,Balon Greyjoy - fatherAlannys Greyjoy - mother{Rodrik Greyjoy} - brother{Maron Greyjoy} - brotherYara Greyjoy - sisterEuron Greyjoy - uncleVictarion Greyjoy - uncleAeron Greyjoy - uncle,Alfie Allen
"Stannis Baratheon
","2, 3, 4, 5","""The North Remembers""","""The Rains of Castamere""""Mhysa"" (corpse)",17 episodes (see below),"""The Wolf and the Lion""""You Win or You Die""""Baelor""",King of the Andals and the First Men (claimant)Lord of the Seven Kingdoms (claimant)Protector of the Realm (claimant)Lord of DragonstoneLord of Storm's End (disputed)Lord Paramount of the Stormlands (disputed)Master of Ships (formerly),"Stannis of House Baratheon, First of His NameThe King in the Narrow SeaWarrior of LightThe Lord's ChosenSon of Fire",Alive,Approx. 19 in Season 3,,"Shot several times by Frey crossbowmen, then stabbed through the heart by Roose Bolton""The Rains of Castamere""",Storm's End,House Baratheon of DragonstoneHouse Baratheon of Storm's End,Andal,"R'hllor, the Lord of Light (convert)",{Steffon Baratheon} - father{Cassana Baratheon} - mother{Robert Baratheon} - older brother{Renly Baratheon} - younger brotherSelyse Baratheon - wifeShireen Baratheon - daughter{Petyr Baratheon} - stillborn son{Tommard Baratheon} - stillborn son{Edric Baratheon} - stillborn son{Axell Florent} - brother-in-lawImry Florent - brother-in-lawGendry - bastard nephewCersei Lannister - sister-in-law{Joffrey Baratheon} - alleged nephewMyrcella Baratheon - alleged nieceTommen Baratheon - alleged nephewMargaery Tyrell - former sister-in-law,Stephen Dillane
"Roose Bolton
","2, 3, 4, 5","""Garden of Bones""","""The Rains of Castamere""""Mhysa"" (corpse)",13 episodes (see below),"""The Wolf and the Lion""""You Win or You Die""""Baelor""",Lord of the DreadfortWarden of the NorthLord Paramount of the NorthLord of Winterfell,"Stannis of House Baratheon, First of His NameThe King in the Narrow SeaWarrior of LightThe Lord's ChosenSon of Fire",Alive,Approx. 19 in Season 3,,"Shot several times by Frey crossbowmen, then stabbed through the heart by Roose Bolton""The Rains of Castamere""",The Dreadfort,House Bolton,Northmen,Old Gods of the Forest,{Domeric Bolton} - trueborn sonRamsay Bolton - legitimized bastard sonWalda Bolton - wife,Michael McElhatton
