name,season,appeared,status,deathcause,origin,houseallegiance,portrayed,culture,religion,gender,image
Sandor Clegane,1 2 3 4,27,Deceased,Combat,Unknown,"Lannister Kingsguard, Clegane",Rory McCann,Unknown,Unknown,m,http://img3.wikia.nocookie.net/__cb20150607060449/gameofthrones/images/thumb/9/91/Sandor_%28The_Children%29.PNG/250px-Sandor_%28The_Children%29.PNG
Bronn,1 2 3 4 5,26,Alive,,Unknown,Stokeworth,Jerome Flynn,Unknown,Unknown,m,http://img2.wikia.nocookie.net/__cb20150422210515/gameofthrones/images/thumb/a/ab/Bronn_of_the_Blackwater_S5.jpg/250px-Bronn_of_the_Blackwater_S5.jpg
Joffrey Baratheon,1 2 3 4,26,Deceased,Poison,King's Landing,"Lannister, Baratheon",Jack Gleeson,Andal,Faith of the Seven,m,http://img1.wikia.nocookie.net/__cb20150314033448/gameofthrones/images/thumb/5/50/Joff.jpg/130px-0%2C800%2C15%2C723-Joff.jpg
Barristan Selmy,1 3 4 5,25,Deceased,"Blade, Combat","Horn Hill, The Reach","Kingsguard, House Selmy, Targaryen",Ian McElhinney,Unknown,Unknown,m,http://img1.wikia.nocookie.net/__cb20150504180820/gameofthrones/images/thumb/1/1f/Barristan_Selmy_Sons_of_the_Harpy.jpg/250px-Barristan_Selmy_Sons_of_the_Harpy.jpg
Bran Stark,1 2 3 4,25,Alive,,Winterfell,Stark,Isaac Hempstead-Wright,Northmen,Old Gods of the Forest,m,http://img1.wikia.nocookie.net/__cb20140428204046/gameofthrones/images/thumb/9/97/Bran_Stark_in_Oathkeeper.png/130px-0%2C1000%2C16%2C901-Bran_Stark_in_Oathkeeper.png
Catelyn Stark,1 2 3,25,Deceased,Blade,Riverrun,"Stark, Tully",Michelle Fairley,Andal,Faith of the Seven,f,http://img2.wikia.nocookie.net/__cb20140515200719/gameofthrones/images/thumb/f/fb/Catelyn-Stark-Profile-HD.png/130px-0%2C544%2C9%2C490-Catelyn-Stark-Profile-HD.png
Stannis Baratheon,2 3 4 5,24,Deceased,"Executed, Blade",Storm's End,Baratheon,Stephen Dillane,Andal,R'hllor Lord of Light,m,http://img3.wikia.nocookie.net/__cb20150609005538/gameofthrones/images/thumb/7/7a/Stannis_S05E09.png/250px-Stannis_S05E09.png
Missandei,3 4 5,22,Alive,,"Naath, Sothoryos",Targaryen,Nathlaie Emmanuel,Unknown,Unknown,f,http://img3.wikia.nocookie.net/__cb20150219051321/gameofthrones/images/thumb/e/e2/MissS5.png/250px-MissS5.png
Podrick Payne,2 3 4 5,22,Alive,,Unknown,"Lannister, Payne",Daniel Portman,Unknown,Unknown,m,http://img1.wikia.nocookie.net/__cb20140618215825/gameofthrones/images/thumb/6/6c/Podrick-Payne-Profile-HD.png/250px-Podrick-Payne-Profile-HD.png
Robb Stark,1 2 3,22,Deceased,Blade,Winterfell,Stark,Richard Madden,Northmen,"Old Gods of the Forest, Faith of the Seven",m,http://img2.wikia.nocookie.net/__cb20130413125346/gameofthrones/images/thumb/e/e9/Robb-3x03.jpg/130px-0%2C354%2C7%2C320-Robb-3x03.jpg
Margaery Tyrell,2 3 4 5,21,Alive,,Highgarden,"Tyrell, Baratheon",Natalie Dormer,Andal,Unknown,f,http://img4.wikia.nocookie.net/__cb20150416014255/gameofthrones/images/thumb/6/6e/MargS5.png/250px-MargS5.png
Davos Seaworth,2 3 4 5,21,Alive,,King's Landing,"Seaworth, Baratheon",Liam Cunningham,Unknown,Unknown,m,http://img2.wikia.nocookie.net/__cb20150419151136/gameofthrones/images/thumb/4/4b/Davos_Seaworth_%28S05E01%29.jpg/250px-Davos_Seaworth_%28S05E01%29.jpg
Shae,1 2 3 4,20,Deceased,Strangled,Lorath,Lannister,Sibel Kekilli,Unknown,Unknown,f,http://img1.wikia.nocookie.net/__cb20140505142823/gameofthrones/images/thumb/0/01/Shae_in_Two_Swords.png/130px-0%2C1888%2C37%2C1707-Shae_in_Two_Swords.png
Melisandre,2 3 4 5,19,Alive,,Asshai,Baratheon,Carice van Houten,Asshai'i,R'hllor Lord of Light,f,http://img2.wikia.nocookie.net/__cb20150604204859/gameofthrones/images/thumb/7/7c/Melisandre_The_Dance_of_Dragons.jpg/250px-Melisandre_The_Dance_of_Dragons.jpg
Gilly,2 3 4 5,18,Alive,,Beyond the Wall,Free Folk,Hannah Murray,Free Folk,Unknown,f,http://img2.wikia.nocookie.net/__cb20140615212038/gameofthrones/images/thumb/0/0e/Gilly.png/250px-Gilly.png
Tommen Baratheon,1 2 4 5,18,Alive,,King's Landing,"Baratheon, Lannister",Dean-Charles Chapman,Andal,Faith of the Seven,m,http://img2.wikia.nocookie.net/__cb20150504161509/gameofthrones/images/thumb/9/94/Tommen_sons_of_the_harpy.jpg/250px-Tommen_sons_of_the_harpy.jpg
Loras Tyrell,1 2 3 4 5,18,Alive,,Highgarden,"Tyrell, Baratheon, Kingsguard",Finn Jones,Andal,Unknown,m,http://img2.wikia.nocookie.net/__cb20150519170126/gameofthrones/images/a/a7/LorasHD3x06-0.png
Tormund,3 4 5,17,Alive,,Beyond the Wall,Free Folk,Kristofer Hivju,Free Folk,Unknown,m,http://img2.wikia.nocookie.net/__cb20150415044031/gameofthrones/images/4/46/TormundGS5.png
Grey Worm,3 4 5,17,Alive,,Summer Isles,"Targaryen, Unsullied",Jacob Anderson,Unknown,Unknown,m,http://img2.wikia.nocookie.net/__cb20140618231552/gameofthrones/images/thumb/a/a8/Grey_Worm_Profile.jpg/250px-Grey_Worm_Profile.jpg
Roose Bolton,2 3 4 5,17,Alive,,The Dreadfort,Bolton,Michael McElhatton,Northmen,Old Gods of the Forest,m,http://img3.wikia.nocookie.net/__cb20150618122950/gameofthrones/images/thumb/f/f2/Roose_Bolton-S05E06.png/250px-Roose_Bolton-S05E06.png
Ygritte,2 3 4,17,Deceased,"Arrow, Combat",Beyond the Wall,Free Folk,Rose Leslie,Free Folk,Unknown,f,http://img3.wikia.nocookie.net/__cb20140518100049/gameofthrones/images/thumb/4/47/Ygritte-Profile-HD.png/130px-0%2C892%2C14%2C803-Ygritte-Profile-HD.png
Gendry,1 2 3,17,Alive,,King's Landing,Self,Joe Dempsie,Unknown,Unknown,m,http://img3.wikia.nocookie.net/__cb20140406203314/gameofthrones/images/thumb/4/4f/Larges3-ep1-people-profilepic-gendry-800x800.jpg/250px-Larges3-ep1-people-profilepic-gendry-800x800.jpg
Ramsay Bolton,3 4 5,15,Alive,,Volantis,Bolton,Iwan Rheon,Northmen,Old Gods of the Forest,m,http://img4.wikia.nocookie.net/__cb20150617120152/gameofthrones/images/thumb/5/51/Ramsay_Bolton-S05E10.png/250px-Ramsay_Bolton-S05E10.png
Daario Naharis,3 4 5,15,Alive,,"Tyrosh, The Free Cities","Targaryen, Second Sons",Michiel Huisman,Unknown,Unknown,m,http://img3.wikia.nocookie.net/__cb20150619210538/gameofthrones/images/thumb/c/c0/004.jpg/250px-004.jpg
Jaqen H'ghar,1 2 5,13,Alive,,Braavos,Faceless Men,Rom Wlaschiha,Unknown,Many-Faced God,m,http://img2.wikia.nocookie.net/__cb20150421020227/gameofthrones/images/thumb/3/3b/AManSeason5.jpg/250px-AManSeason5.jpg
Myrcella Baratheon,1 2 5,13,Deceased,Poison,King's Landing,"Baratheon, Lannister, Martell",Neil Tiger Free,Andal,Faith of the Seven,f,http://img4.wikia.nocookie.net/__cb20150318224838/gameofthrones/images/thumb/0/02/MyrcellaS5Cropped.jpg/250px-MyrcellaS5Cropped.jpg
Lancel Lannister,1 2 5,13,Alive,,Casterly Rock,"Lannister, Sparrows",Eugene Simon,Andal,Faith of the Seven,m,http://img3.wikia.nocookie.net/__cb20150614183043/gameofthrones/images/thumb/1/15/Lancel_S5E4.png/250px-Lancel_S5E4.png
Jeor Mormont,1 2 3,12,Deceased,Blade,Bear Island,"Night's Watch, Mormont",James Cosmo,Northmen,Old Gods of the Forest,m,http://img4.wikia.nocookie.net/__cb20140515205439/gameofthrones/images/thumb/6/65/Jeor-Mormont-Profile-HD.png/130px-0%2C486%2C8%2C438-Jeor-Mormont-Profile-HD.png
Eddard Stark,1,11,Deceased,"Executed, Blade",Winterfell,Stark,Sean Bean,Northmen,Old Gods of the Forest,m,http://img2.wikia.nocookie.net/__cb20110626030942/gameofthrones/images/thumb/9/9c/EddardStark.jpg/130px-0%2C346%2C7%2C313-EddardStark.jpg
Shireen Baratheon,3 4 5,10,Deceased,Fire/Burning,Dragonstone,Baratheon,Kerry Ingram,Andal,Unknown,f,http://img1.wikia.nocookie.net/__cb20140406204724/gameofthrones/images/thumb/e/eb/Shireen_Baratheon_Season_4_profile.jpg/250px-Shireen_Baratheon_Season_4_profile.jpg
Khal Drogo,1 2 ,10,Deceased,Smothered,Vaes Dothrak,Self,Jason Momoa,Dothraki,Great Stallion,m,http://img1.wikia.nocookie.net/__cb20110626031733/gameofthrones/images/thumb/1/1f/Drogo_1x01b.jpg/130px-0%2C346%2C7%2C313-Drogo_1x01b.jpg
Renly Baratheon,1 2,8,Deceased,Magic,Storm's End,Baratheon,Gethin Anthony,Unknown,Faith of the Seven,m,http://img1.wikia.nocookie.net/__cb20130116113034/gameofthrones/images/thumb/3/3d/Renly_profile.jpg/130px-0%2C379%2C6%2C341-Renly_profile.jpg
Oberyn Martell,4,7,Deceased,"Hands, Combat",Sunspear,"Martell, Second Sons, The Citadel",Pedro Pascal,Dornishmen,Faith of the Seven,m,http://img1.wikia.nocookie.net/__cb20150302145403/gameofthrones/images/thumb/6/67/Oberyn_Martell_%28Season_4%2C_Episode_06%29.png/130px-0%2C500%2C8%2C450-Oberyn_Martell_%28Season_4%2C_Episode_06%29.png
Robert Baratheon,1,7,Deceased,Animal,Storm's End,Baratheon,Mark Addy,Unknown,Unknown,m,http://img2.wikia.nocookie.net/__cb20141119000127/gameofthrones/images/thumb/d/d4/RobertBaratheon.jpg/130px-0%2C346%2C7%2C313-RobertBaratheon.jpg
